eventNumber,hitDetID,hitT,hitQ
66,"[339, 339, 339, 343, 362, 366, 369, 409, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[599.0, 767.3333333333334, 1191.5, 1164.0, 1516.4444444444443, 1931.142857142857, 1561.5, 465.6, 383.53337342152736, 398.0, 407.34513274336285, 423.2121212121212, 432.8, 455.6666666666667, 604.0, 745.0, 386.6666666666667, 411.0, 502.5, 646.0, 787.0]","[0.002995166015625, 0.0024527343749999996, 0.003396093750000001, 0.00212255859375, 0.0019103027343749998, 0.0017216308593750005, 0.0023112304687500007, 0.0025470703125, 0.18614838867187503, 0.027357421875000003, -0.0004245117187499998, 0.0023819824218749993, 0.000495263671875, 0.000400927734375, 0.0034196777343749995, 0.00415078125, 0.0010376953124999998, 0.0009669433593750002, 0.0033017578125000002, 0.00608466796875, 0.006249755859375002]"
67,"[332, 339, 344, 366, 376, 400, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[469.8181818181818, 768.0, 641.0, 1369.2, 482.57142857142856, 464.3333333333333, 383.3802647412756, 398.0, 407.1764705882353, 423.0625, 424.0, 434.0, 440.0, 607.3333333333334, 761.3333333333334, 916.0, 384.6666666666667, 410.0, 501.42857142857144, 646.0, 783.3333333333334]","[0.0021697265625000004, 0.0023348144531250004, 0.0015801269531250006, 0.000966943359375, 0.00174521484375, 0.0016272949218749993, 0.18673798828125002, 0.028088525390625, -0.0005895996093750004, 0.002004638671875, 0.0015801269531249998, 0.00051884765625, 0.00033017578125, 0.002900830078125, 0.0031130859374999998, 0.0031838378906250005, 0.0013207031250000005, 0.0010612792968749999, 0.004315869140624999, 0.007617626953125, 0.00721669921875]"
68,"[340, 362, 363, 410, 416, 416, 416, 416, 416, 416, 420, 420, 436, 450, 450, 450, 450, 450]","[629.3333333333334, 716.3389830508474, 472.0, 1581.6, 383.39209726443767, 398.0, 407.25252525252523, 423.09090909090907, 424.0, 434.0, 609.3333333333334, 744.0, 1368.8, 385.6, 410.0, 501.6, 640.0, 784.0]","[0.0021225585937499993, 0.024409423828124978, 0.0057073242187500005, 0.0023819824218750006, 0.18744550781250002, 0.026178222656249996, -0.00030659179687500006, 0.00193388671875, 0.0015801269531249998, 0.00047167968750000004, 0.0029244140625000006, 0.004103613281250001, 0.00259423828125, 0.001438623046875, 0.00117919921875, 0.00410361328125, 0.007169531250000002, 0.006957275390624998]"
69,"[339, 365, 366, 366, 416, 416, 416, 416, 416, 416, 420, 420, 420, 427, 450, 450, 450, 450, 450]","[775.0, 470.2857142857143, 1011.0, 1155.5, 383.4678678678679, 398.0, 407.2631578947368, 423.1666666666667, 424.0, 434.0, 603.0, 739.3333333333334, 923.0, 475.84615384615387, 384.6666666666667, 407.7142857142857, 501.6, 645.0, 785.0]","[0.0017923828125000001, 0.0033017578125000007, 0.0012027832031250001, 0.0011084472656250001, 0.186195556640625, 0.0283951171875, -0.0004952636718750001, 0.001910302734375, 0.00155654296875, 0.000495263671875, 0.0032545898437500017, 0.004881884765625001, 0.0019810546875000004, 0.001108447265625, 0.001391455078125, 0.0013914550781249995, 0.0045045410156249995, 0.00740537109375, 0.007711962890625002]"
70,"[339, 396, 416, 416, 416, 416, 416, 416, 420, 420, 420, 434, 450, 450, 450, 450, 450]","[776.0, 1845.5384615384614, 383.20625, 398.0, 408.0, 423.06666666666666, 424.0, 432.0, 608.0, 754.0, 930.0, 1314.0, 385.14285714285717, 409.0, 501.3333333333333, 644.0, 784.0]","[0.0018159667968749996, 0.0027121582031249996, 0.181997607421875, 0.024032080078124997, 0.0017216308593750002, 0.0018395507812499997, 0.0015801269531250002, 0.00037734375, 0.003278173828125, 0.004315869140625, 0.001532958984375, 0.0016980468750000003, 0.001297119140625, 0.000778271484375, 0.003985693359375, 0.0071695312500000006, 0.006532763671875001]"
71,"[334, 339, 394, 410, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[479.5, 623.3333333333334, 1364.909090909091, 461.1111111111111, 383.0667514303878, 398.0, 407.0933333333333, 422.8888888888889, 424.0, 432.0, 608.0, 746.0, 913.5, 385.3333333333333, 409.0, 502.0, 646.0, 787.6]","[0.00136787109375, 0.0015093749999999999, 0.002193310546875, 0.0017687988281250002, 0.18213911132812502, 0.023961328125000004, -0.00021225585937499985, 0.00155654296875, 0.0015565429687499999, 0.00033017578124999996, 0.0029479980468750003, 0.004009277343750001, 0.0022168945312500007, 0.001249951171875, 0.0011320312500000002, 0.0038441894531249994, 0.006862939453125003, 0.006674267578125]"
72,"[416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[383.147296457427, 398.0, 407.01234567901236, 422.84615384615387, 424.0, 432.0, 440.0, 608.0, 769.0, 922.0, 385.0, 409.5, 510.0, 646.0, 788.0]","[0.18112500000000004, 0.025918798828124995, -0.00037734375000000013, 0.0014150390624999998, 0.001509375, 0.00037734375, 0.000353759765625, 0.003254589843750001, 0.0034432617187500005, 0.0017923828125000001, 0.0012263671875000002, 0.00080185546875, 0.0043630371093750005, 0.006579931640625001, 0.005966748046874999]"
73,"[339, 416, 416, 416, 416, 416, 416, 420, 420, 421, 450, 450, 450, 450, 450]","[777.0, 383.3761356753483, 398.0, 407.2323232323232, 423.0967741935484, 424.0, 447.6363636363636, 602.0, 755.0, 967.7142857142857, 386.5, 410.0, 502.0, 648.0, 786.0]","[0.0019810546874999995, 0.18680874023437505, 0.027003662109375003, -0.0004245117187499999, 0.0019103027343749998, 0.0014857910156249998, 0.000259423828125, 0.0029479980468750007, 0.004221533203125001, 0.00259423828125, 0.001014111328125, 0.000778271484375, 0.0030187500000000006, 0.005872412109375001, 0.006462011718750001]"
74,"[366, 391, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 449, 450, 450, 450, 450, 450, 451, 451]","[1370.5, 464.0, 383.27272727272725, 398.0, 407.1489361702128, 423.0625, 424.0, 434.0, 455.5, 604.0, 771.3333333333334, 915.0, 487.0, 386.0, 408.0, 502.0, 646.5, 788.5, 250.1904761904762, 252.0]","[0.001061279296875, 0.0020046386718750005, 0.18810585937500005, 0.026956494140624995, -0.000495263671875, 0.0018867187500000002, 0.0016037109375, 0.00047167968749999993, 0.00037734375, 0.002995166015625, 0.0038913574218750004, 0.0020753906249999995, 0.000566015625, 0.0012499511718750001, 0.0009669433593750003, 0.0033960937500000007, 0.007004443359375001, 0.006273339843749999, 0.0027357421875, 0.0036319335937500005]"
75,"[366, 372, 374, 416, 420, 420, 450, 450, 450, 450, 450]","[983.0, 475.6666666666667, 458.15384615384613, 383.17391304347825, 607.0, 745.5, 385.5, 408.0, 502.0, 646.0, 783.3333333333334]","[0.0013914550781250004, 0.00108486328125, 0.002712158203125001, 7.869268066406297, 0.003207421875, 0.004410205078125001, 0.0014150390625, 0.00127353515625, 0.004363037109375, 0.007334619140625002, 0.0074053710937500026]"
76,"[339, 339, 403, 404, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[768.0, 1168.0, 733.4666666666667, 629.0, 382.93506493506493, 398.0, 406.89230769230767, 422.8181818181818, 424.0, 447.8181818181818, 610.0, 752.0, 931.0, 385.0, 408.0, 501.6666666666667, 646.6666666666666, 789.2]","[0.0030895019531250005, 0.0026178222656249995, 0.0023348144531250004, 0.00466962890625, 0.18289379882812498, 0.033512841796875005, -0.000212255859375, 0.0014857910156250002, 0.0013914550781250002, 0.00025942382812500005, 0.0027357421875, 0.004480957031250001, 0.002075390625000001, 0.0010376953125, 0.000943359375, 0.0032074218749999993, 0.005943164062500002, 0.005164892578124999]"
77,"[344, 364, 369, 370, 398, 401, 403, 416, 420, 420, 421, 425, 425, 450, 450, 450, 450]","[1854.0, 981.0, 469.6, 456.0, 242.4, 1299.0, 544.8, 383.0444309190505, 604.0, 755.0, 1509.0, 235.33333333333334, 1170.375, 385.0, 501.6, 646.5, 785.0]","[0.0032545898437500004, 0.0024763183593749997, 0.0033725097656249993, 0.001674462890625, 0.002193310546875, 0.001155615234375, 0.0011556152343750001, 7.8674285156250505, 0.0030187499999999997, 0.003183837890625001, 0.000825439453125, 0.003584765625000003, 0.015070166015624938, 0.002806494140625, 0.004032861328125, 0.007145947265625001, 0.007193115234375003]"
78,"[356, 364, 367, 367, 370, 398, 414, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[473.6666666666667, 479.7142857142857, 163.69230769230768, 231.66666666666666, 1034.5714285714287, 1623.111111111111, 810.9333333333333, 383.4699519230769, 398.0, 407.2477064220183, 423.11764705882354, 434.0, 611.0, 752.0, 386.0, 411.0, 501.6, 646.4, 787.0]","[0.003301757812500002, 0.0020046386718750005, 0.009598681640625002, 0.001698046875, 0.0021697265625, 0.0018395507812500004, 0.002287646484375, 0.185771044921875, 0.027947021484375004, -0.0005424316406250002, 0.00240556640625, 0.0004009277343750001, 0.002806494140625, 0.003254589843750001, 0.001108447265625, 0.00108486328125, 0.004457373046874999, 0.007004443359375002, 0.006650683593750002]"
79,"[339, 371, 411, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[777.0, 499.5, 569.6, 383.51047277079596, 398.0, 407.28205128205127, 423.11764705882354, 432.57142857142856, 447.8181818181818, 604.0, 763.0, 385.0, 409.0, 501.6, 641.0, 786.0]","[0.001863134765625, 0.001910302734375, 0.00136787109375, 0.18534653320312505, 0.028796044921874996, -0.0006131835937500002, 0.0024055664062500003, 0.00044809570312500003, 0.00033017578125, 0.003136669921875, 0.0034904296875000003, 0.00117919921875, 0.00108486328125, 0.00419794921875, 0.007028027343750001, 0.006910107421875004]"
80,"[339, 416, 416, 416, 416, 416, 420, 420, 440, 443, 450, 450, 450, 450, 450]","[777.0, 383.3775075987842, 398.0, 407.2549019607843, 423.1764705882353, 424.0, 608.0, 747.3333333333334, 985.4545454545455, 472.4, 385.3333333333333, 410.0, 503.0, 646.5, 788.4]","[0.00188671875, 0.18761059570312502, 0.0261310546875, -0.0004716796875000003, 0.00188671875, 0.0016980468750000003, 0.0027121582031250004, 0.0036319335937499996, 0.0024055664062500003, 0.0018159667968750005, 0.0010848632812500002, 0.000872607421875, 0.0036555175781250006, 0.0062733398437500015, 0.006485595703125]"
81,"[366, 394, 394, 416, 420, 420, 420, 437, 450, 450, 450, 450, 450]","[1217.25, 474.5, 1495.3333333333333, 382.91817613991253, 603.0, 768.6666666666666, 908.0, 1206.888888888889, 385.6, 409.3333333333333, 502.6666666666667, 646.0, 784.0]","[0.002146142578125, 0.0034904296875000007, 0.0009197753906250006, 7.824953759765626, 0.003348925781250001, 0.004410205078125, 0.0030423339843750003, 0.0020989746093749997, 0.0012263671875000002, 0.000966943359375, 0.0041036132812500015, 0.0077355468750000015, 0.006815771484375001]"
82,"[339, 339, 366, 366, 377, 416, 416, 416, 416, 416, 420, 420, 441, 450, 450, 450, 450, 450]","[599.5, 777.3333333333334, 48.0, 708.0, 1779.8333333333333, 383.50213544844416, 398.0, 407.3592233009709, 423.2121212121212, 432.3333333333333, 606.0, 755.0, 1771.6363636363637, 385.3333333333333, 409.5, 502.0, 645.0, 784.0]","[0.003207421875, 0.0022168945312500007, 0.0012263671875, 0.0012735351562500003, 0.002381982421875, 0.18692666015625, 0.025399951171875, -0.0001415039062499996, 0.002334814453125, 0.0004009277343749999, 0.003018750000000001, 0.003938525390625001, 0.0036083496093749995, 0.0012027832031250001, 0.0011556152343750001, 0.0038206054687499992, 0.006556347656250003, 0.006745019531250002]"
83,"[339, 366, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[775.0, 771.6666666666666, 383.2891344383057, 398.0, 407.2, 423.1034482758621, 424.0, 432.0, 463.6, 608.0, 762.6666666666666, 915.0, 384.6666666666667, 408.0, 502.5, 645.0, 786.0]","[0.002004638671875, 0.0018631347656250005, 0.188483203125, 0.025918798828125002, -0.00023583984374999986, 0.0019810546875, 0.001438623046875, 0.0002830078125, 0.000259423828125, 0.0030659179687500004, 0.0040564453125, 0.002405566406249999, 0.0012499511718750001, 0.00117919921875, 0.004150781249999999, 0.008018554687500002, 0.006202587890625002]"
84,"[339, 383, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[776.0, 475.6, 383.04113110539845, 398.0, 408.0, 423.037037037037, 424.0, 432.0, 447.85714285714283, 603.3333333333334, 769.0, 915.3333333333334, 385.0, 409.3333333333333, 501.6, 644.0, 786.0]","[0.001768798828125, 0.0006839355468749998, 0.18289379882812498, 0.0227349609375, 0.0016037109375, 0.0016037109375, 0.001320703125, 0.00028300781250000006, 7.075195312500001e-05, 0.00325458984375, 0.002381982421875, 0.002193310546875, 0.0012027832031250001, 0.0008726074218750002, 0.003844189453125001, 0.007145947265625003, 0.006367675781250001]"
85,"[335, 339, 344, 366, 416, 416, 416, 416, 416, 416, 416, 416, 419, 420, 420, 420, 438, 450, 450, 450, 450, 450, 462]","[473.0, 599.0, 633.0, 1335.5, 383.2275263484191, 398.0, 407.1860465116279, 423.0967741935484, 432.0, 440.0, 455.6, 479.0, 1369.5714285714287, 601.3333333333334, 754.0, 915.0, 474.8, 386.0, 411.0, 502.0, 640.0, 786.0, 478.25]","[0.0019574707031250007, 0.0034196777343750004, 0.0019103027343749998, 0.0010612792968750003, 0.18143159179687499, 0.024786767578125, -0.00018867187500000023, 0.002452734375, 0.0006131835937500001, 0.000259423828125, 0.000448095703125, 0.0007075195312499999, 0.0027829101562500008, 0.0035140136718750017, 0.004551708984374999, 0.0026885742187499994, 0.0011791992187499998, 0.0011084472656250003, 0.0009669433593750002, 0.0036791015625000003, 0.007311035156250001, 0.006367675781250002, 0.0025942382812500007]"
86,"[339, 366, 394, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[777.0, 1721.5, 1739.5, 383.2034739454094, 398.0, 407.14942528735634, 423.0, 424.0, 432.0, 440.0, 607.0, 746.0, 913.0, 385.5, 409.0, 501.3333333333333, 644.5, 786.0]","[0.002523486328125, 0.0012735351562500005, 0.003419677734375001, 0.18088916015625, 0.025234863281250013, -0.00023583984375, 0.002004638671875, 0.00155654296875, 0.00037734375, 0.000259423828125, 0.003514013671875, 0.004528125, 0.0028536621093749994, 0.0014386230468749997, 0.0012027832031250001, 0.004646044921874999, 0.007287451171875001, 0.006768603515624998]"
87,"[339, 366, 383, 389, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[778.0, 1785.4285714285713, 1181.0, 1891.6666666666667, 383.59451401311867, 398.0, 407.28, 423.12820512820514, 424.0, 432.57142857142856, 440.0, 611.0, 769.5, 915.0, 385.0, 410.0, 502.8, 645.0, 784.0]","[0.0016272949218749993, 0.0009197753906250001, 0.0018631347656249994, 0.00268857421875, 0.183955078125, 0.030163916015625004, -0.0004952636718749996, 0.0023112304687500002, 0.0017216308593750002, 0.00035375976562500007, 0.00014150390625, 0.00306591796875, 0.004032861328125001, 0.0022404785156249995, 0.001297119140625, 0.0011556152343750001, 0.004032861328125001, 0.0071695312500000006, 0.007051611328125003]"
88,"[339, 364, 366, 416, 420, 420, 450, 450, 450, 450, 450]","[775.3333333333334, 473.0, 1283.6, 383.1625377643505, 608.0, 762.0, 385.5, 408.0, 501.7142857142857, 645.0, 786.0]","[0.001910302734375, 0.0021461425781250003, 0.0009905273437500002, 7.822288769531261, 0.003089501953125, 0.0036555175781250006, 0.0013442871093749997, 0.0010376953125, 0.00372626953125, 0.007240283203125003, 0.005848828125000001]"
89,"[340, 344, 416, 416, 416, 416, 416, 416, 420, 420, 420, 421, 424, 424, 450, 450, 450, 450, 450, 459]","[765.6, 635.0, 383.56843992827254, 398.0, 407.3170731707317, 423.1666666666667, 424.0, 433.0, 608.6666666666666, 746.0, 919.3333333333334, 1764.25, 621.1428571428571, 1713.6307692307691, 385.3333333333333, 410.0, 502.0, 644.6666666666666, 786.0, 462.25]","[0.003372509765625001, 0.0019338867187500006, 0.18515786132812498, 0.029267724609375, -0.0004009277343749999, 0.0021697265625, 0.001532958984375, 0.000495263671875, 0.0034196777343750012, 0.0044337890625, 0.002193310546875, 0.002429150390625, 0.003278173828125, 0.016272949218749992, 0.00117919921875, 0.0009433593750000001, 0.0036791015625000007, 0.006792187499999999, 0.006485595703125001, 0.0020989746093749997]"
90,"[356, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 462]","[467.5, 383.3438639125152, 398.0, 407.2323232323232, 423.11764705882354, 424.0, 434.0, 440.0, 609.0, 748.0, 386.0, 501.5, 645.0, 788.0, 491.0]","[0.00188671875, 0.187233251953125, 0.026555566406250005, -0.000589599609375, 0.001910302734375, 0.0015329589843750002, 0.000542431640625, 0.00037734375, 0.0029715820312500012, 0.003608349609375001, 0.0031366699218750007, 0.00415078125, 0.00693369140625, 0.0074525390625, 0.00108486328125]"
91,"[339, 360, 362, 366, 386, 416, 416, 416, 416, 420, 450, 450, 450, 450, 450]","[775.0, 462.0, 404.61538461538464, 385.3333333333333, 1632.5714285714287, 383.4849215922799, 398.0, 407.2962962962963, 423.11764705882354, 609.0, 386.0, 410.0, 502.6666666666667, 645.0, 786.0]","[0.0022876464843749997, 0.0025470703125, 0.004268701171875001, 0.0013914550781250004, 0.004056445312500002, 0.186572900390625, 0.027192333984375008, -0.0002594238281250002, 0.00264140625, 0.0025706542968750006, 0.0010376953125, 0.000778271484375, 0.0036083496093749995, 0.006226171875, 0.0060610839843750035]"
92,"[339, 339, 397, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[623.3333333333334, 776.0, 459.6666666666667, 383.27838827838826, 398.0, 407.1521739130435, 422.96774193548384, 424.0, 434.0, 447.6923076923077, 606.6666666666666, 746.0, 920.0, 386.0, 409.5, 502.5, 646.0, 784.0]","[0.00155654296875, 0.0020518066406250003, 0.002240478515625, 0.18784643554687502, 0.026673486328125003, -0.0004009277343749999, 0.001957470703125, 0.0016037109375, 0.000306591796875, 0.000259423828125, 0.00334892578125, 0.0045045410156249995, 0.00202822265625, 0.001202783203125, 0.000966943359375, 0.0038677734375, 0.007028027343750004, 0.006202587890625001]"
93,"[364, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450, 460]","[470.85714285714283, 383.28195718654433, 398.0, 407.14285714285717, 423.0, 424.0, 432.0, 479.6666666666667, 609.0, 752.0, 914.0, 386.0, 409.0, 502.0, 647.0, 788.0, 467.14285714285717]","[0.0019574707031250007, 0.18770493164062502, 0.02679140625, -0.0004245117187500001, 0.002075390625, 0.0015093749999999999, 0.00035375976562499996, 0.000353759765625, 0.0033253417968750003, 0.004528125000000001, 0.0026885742187499994, 0.0011791992187499998, 0.0008961914062500001, 0.004056445312500001, 0.006674267578125002, 0.006202587890625001, 0.0022404785156250003]"
94,"[339, 339, 340, 366, 378, 416, 420, 420, 420, 447, 450, 450, 450, 450, 450]","[593.0, 775.3333333333334, 631.3333333333334, 1341.0, 470.0, 383.2, 602.0, 754.0, 913.0, 1836.0, 385.3333333333333, 409.0, 501.6, 641.5, 784.0]","[0.0032545898437500004, 0.001957470703125, 0.001957470703125, 0.0012735351562500003, 0.003207421875000001, 7.871838720703155, 0.00325458984375, 0.0035847656249999994, 0.002617822265625, 0.0017923828125000001, 0.0014150390625, 0.001249951171875, 0.004197949218749999, 0.007358203125000001, 0.007546875000000004]"
95,"[339, 363, 366, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[769.3333333333334, 473.77777777777777, 1562.0, 383.59856630824373, 398.0, 407.312, 423.18918918918916, 424.0, 432.6666666666667, 602.0, 754.0, 914.0, 384.0, 409.3333333333333, 502.5, 644.0, 786.0]","[0.0025470703125, 0.0026414062499999997, 0.0012263671875000002, 0.184120166015625, 0.029503564453125, -0.000683935546875, 0.0020518066406250003, 0.0016272949218750002, 0.00051884765625, 0.0034904296875000003, 0.004787548828125, 0.0025470703125000005, 0.0010376953125, 0.0011084472656250001, 0.00415078125, 0.007193115234375003, 0.006697851562500003]"
96,"[339, 340, 340, 416, 416, 416, 416, 416, 416, 420, 420, 420, 440, 450, 450, 450, 450, 450]","[777.3333333333334, 639.0, 797.3333333333334, 383.3734061930783, 398.0, 407.25252525252523, 423.2, 424.0, 434.0, 607.0, 755.0, 923.3333333333334, 460.0, 385.2, 409.0, 501.5, 646.5, 786.6666666666666]","[0.0014857910156249998, 0.0016272949218750002, 0.001957470703125, 0.18711533203124997, 0.026083886718749998, -0.0005188476562499999, 0.00174521484375, 0.0013442871093750004, 0.000306591796875, 0.0031366699218750007, 0.004504541015625, 0.0018395507812500001, 0.0014150390625000003, 0.001108447265625, 0.0009433593750000001, 0.0034904296875000003, 0.005848828125000001, 0.006367675781250001]"
97,"[383, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[1262.6666666666667, 383.25152625152623, 398.0, 407.1034482758621, 423.06666666666666, 424.0, 432.0, 607.0, 745.3333333333334, 913.3333333333334, 385.5, 410.0, 502.0, 643.0, 787.0]","[0.00400927734375, 0.18848320312499997, 0.026531982421875006, -0.00040092773437499986, 0.0019810546875000004, 0.001627294921875, 0.00047167968749999993, 0.00306591796875, 0.0044809570312500015, 0.0026178222656249995, 0.001014111328125, 0.0006603515625, 0.003938525390625, 0.007028027343750001, 0.006627099609375001]"
98,"[339, 369, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[775.0, 1803.7142857142858, 383.08894536213467, 398.0, 407.14285714285717, 423.037037037037, 424.0, 432.0, 440.0, 609.0, 753.5, 922.0, 386.5, 410.0, 502.0, 646.0, 788.0]","[0.0020753906249999995, 0.0022168945312500002, 0.18230419921875002, 0.023678320312500004, -0.00030659179687499995, 0.0016272949218750004, 0.00136787109375, 0.000259423828125, 1.734723475976807e-20, 0.00259423828125, 0.003466845703125, 0.0018159667968750005, 0.00117919921875, 0.0009433593750000003, 0.0038441894531250007, 0.006344091796875002, 0.006108251953125]"
99,"[354, 360, 366, 369, 373, 414, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 422, 423, 450, 450, 450, 450, 450]","[64.66666666666667, 463.0, 78.33333333333333, 696.0, 461.6923076923077, 499.45454545454544, 383.3754512635379, 398.0, 407.1764705882353, 423.06666666666666, 424.0, 434.0, 440.0, 479.6666666666667, 617.0, 754.0, 919.5, 464.0, 458.6666666666667, 386.0, 409.0, 502.0, 646.0, 784.0]","[0.00127353515625, 0.001438623046875, 0.002075390625, 0.0030895019531250014, 0.0024527343750000005, 0.0036555175781249998, 0.18654931640625003, 0.028206445312499998, -0.0004245117187500003, 0.00193388671875, 0.00155654296875, 0.0004009277343749999, 0.00018867187499999998, 0.0007075195312499999, 0.00249990234375, 0.0030187500000000006, 0.0017923828125000001, 0.0012027832031250001, 0.0021697265625, 0.000778271484375, 0.0007311035156249999, 0.0039149414062500006, 0.00561298828125, 0.007594042968750003]"
100,"[339, 340, 361, 366, 366, 369, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[599.3333333333334, 637.3333333333334, 1726.0, 776.5714285714286, 1827.0, 1157.7142857142858, 383.2757557063541, 398.0, 407.2391304347826, 423.1515151515151, 424.0, 432.0, 610.6666666666666, 768.6666666666666, 915.0, 385.0, 408.0, 503.0, 643.3333333333334, 785.0]","[0.002712158203124999, 0.001344287109375, 0.0029715820312500012, 0.0018395507812500001, 0.001391455078125, 0.002853662109375, 0.18881337890625, 0.0248103515625, -0.000542431640625, 0.0016272949218750002, 0.0012263671875000002, 0.0003065917968750001, 0.0030423339843750003, 0.00410361328125, 0.0021225585937499998, 0.001155615234375, 0.0010376953125000002, 0.003749853515624999, 0.007004443359375002, 0.006320507812500001]"
101,"[366, 369, 383, 413, 415, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450]","[1783.0, 772.3333333333334, 464.4, 554.5333333333333, 468.75, 383.0566518141311, 398.0, 407.0422535211268, 422.9230769230769, 424.0, 432.0, 479.0, 608.0, 771.3333333333334, 385.0, 503.3333333333333, 644.0, 784.0]","[0.0013442871093749997, 0.002830078125, 0.0013914550781250002, 0.0033253417968750003, 0.0015801269531250002, 0.18261079101562502, 0.024032080078124997, 0.00011791992187499996, 0.0016744628906249996, 0.001509375, 0.00030659179687499995, 0.0008726074218750001, 0.0027593261718749994, 0.0032545898437500004, 0.0010848632812499998, 0.0036083496093749995, 0.0066035156250000004, 0.006061083984375]"
102,"[366, 372, 404, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[159.33333333333334, 1855.5555555555557, 470.6666666666667, 383.2323856613103, 398.0, 407.15294117647056, 423.07142857142856, 424.0, 432.0, 440.0, 614.0, 745.3333333333334, 384.6666666666667, 408.0, 501.14285714285717, 640.0, 785.5]","[0.0012263671875, 0.0017216308593750007, 0.003867773437500001, 0.180488232421875, 0.025399951171875, -0.0004009277343750001, 0.0017216308593750002, 0.001438623046875, 0.00035375976562500007, 0.00028300781249999995, 0.0028300781249999997, 0.003749853515625, 0.0012027832031250001, 0.001155615234375, 0.003962109375, 0.006414843750000001, 0.007051611328125]"
103,"[366, 368, 369, 379, 403, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[353.5, 482.6666666666667, 902.4444444444445, 1776.8333333333333, 580.0, 383.33048780487803, 398.0, 407.22105263157897, 423.0967741935484, 424.0, 447.8181818181818, 604.0, 746.0, 908.0, 386.0, 410.0, 501.6, 647.0, 786.0]","[0.0008490234375, 0.002570654296875, 0.002240478515625, 0.004292285156250006, 0.0011084472656250001, 0.18758701171875003, 0.02603671875, -0.000495263671875, 0.0018159667968750005, 0.0014622070312499999, 9.43359375e-05, 0.003584765625000001, 0.004716796875, 0.0030423339843750007, 0.0014622070312499996, 0.00136787109375, 0.004740380859375, 0.007499707031250001, 0.0066742675781249995]"
104,"[369, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[1304.3333333333333, 383.29283110571083, 398.0, 407.1521739130435, 423.0, 424.0, 603.0, 751.3333333333334, 915.0, 385.0, 409.0, 502.5, 647.0, 788.6666666666666]","[0.003231005859375, 0.18779926757812504, 0.027027246093750002, -0.0003065917968750001, 0.002075390625, 0.0015329589843749998, 0.003396093750000001, 0.0044337890625000004, 0.0023583984375000005, 0.0010141113281249999, 0.0008018554687500002, 0.0034196777343750004, 0.00561298828125, 0.005329980468750001]"
105,"[416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[383.4588377723971, 398.0, 407.2962962962963, 423.14285714285717, 424.0, 434.0, 602.0, 754.0, 913.5, 385.0, 410.0, 509.0, 645.0, 782.0]","[0.187091748046875, 0.026531982421875006, -0.000259423828125, 0.002098974609375, 0.0016272949218750002, 0.0004952636718749999, 0.0036555175781249993, 0.00476396484375, 0.0024999023437500003, 0.001509375, 0.0012263671875, 0.004528125000000001, 0.007240283203125001, 0.008207226562500003]"
