eventNumber,hitDetID,hitT,hitQ
20,"[339, 339, 412, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[599.0, 776.0, 459.3333333333333, 383.53753753753756, 398.0, 407.32142857142856, 423.22222222222223, 424.0, 608.0, 758.0, 386.0, 408.0, 501.6666666666667, 644.0, 783.0]","[0.0032310058593750008, 0.00240556640625, 0.0011556152343750003, 0.185818212890625, 0.02771118164062501, -0.0004952636718749999, 0.0019338867187499997, 0.0014622070312500003, 0.0030187500000000006, 0.00410361328125, 0.001768798828125, 0.0014857910156249998, 0.00457529296875, 0.007664794921875, 0.007358203125000001]"
21,"[334, 339, 344, 354, 354, 366, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450, 450]","[823.0, 769.6, 641.3333333333334, 722.1538461538462, 1257.3333333333333, 464.6666666666667, 383.4114077669903, 398.0, 407.2352941176471, 423.1875, 424.0, 434.0, 603.0, 753.3333333333334, 385.3333333333333, 409.0, 501.6, 640.0, 788.0, 1487.3333333333333]","[0.002452734375000001, 0.002193310546875, 0.00136787109375, 0.0037026855468750004, 0.003396093750000001, 0.003113085937500001, 0.18711533203125, 0.026272558593750005, -0.00023583984375000007, 0.0018631347656250003, 0.0014150390625, 0.0005424316406250001, 0.0031130859375, 0.003702685546875001, 0.001509375, 0.0011791992187500002, 0.0042451171875, 0.007570458984375003, 0.007216699218749999, 0.0029951660156250005]"
22,"[351, 409, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[247.5, 465.1111111111111, 383.3024691358025, 398.0, 407.26666666666665, 423.1333333333333, 424.0, 447.8181818181818, 609.0, 754.0, 385.2, 410.0, 502.5, 645.0, 786.0]","[0.00155654296875, 0.0016272949218750004, 0.18907280273437496, 0.024079248046875, -0.00025942382812499983, 0.00188671875, 0.0014386230468750002, 0.00016508789062499998, 0.003136669921875, 0.003207421875, 0.0011791992187500002, 0.001014111328125, 0.003891357421874999, 0.006391259765625002, 0.006674267578125002]"
23,"[339, 416, 416, 416, 416, 416, 420, 420, 430, 450, 450, 450, 450, 450]","[593.3333333333334, 383.25756639901175, 398.0, 407.2087912087912, 423.1875, 424.0, 610.6666666666666, 737.5, 467.3333333333333, 385.0, 409.5, 502.0, 645.0, 788.0]","[0.0028536621093749994, 0.18907280273437505, 0.024692431640625002, -0.0002830078125000001, 0.0017923828125, 0.001320703125, 0.0024527343749999996, 0.0042451171875, 0.002995166015625001, 0.001061279296875, 0.0009197753906250001, 0.0036555175781250006, 0.0064620117187500015, 0.0060846679687500006]"
24,"[338, 387, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[984.8571428571429, 457.53846153846155, 383.97852541159625, 400.0, 407.49333333333334, 423.375, 424.0, 449.6666666666667, 603.2, 755.0, 384.6666666666667, 409.3333333333333, 502.5, 645.0, 783.3333333333334]","[0.0026649902343749998, 0.002098974609375, 0.185016357421875, 0.031626123046875, -0.0004952636718750004, 0.002051806640625, 0.0018159667968749998, 0.0004009277343750001, 0.0033960937499999994, 0.0032074218750000006, 0.001249951171875, 0.001297119140625, 0.004174365234375, 0.007759130859375005, 0.007334619140625002]"
25,"[344, 350, 375, 398, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 425, 436, 450, 450, 450, 450, 450]","[641.3333333333334, 460.6666666666667, 453.8666666666667, 1195.6363636363637, 383.4197828709288, 398.0, 407.2710280373832, 423.10526315789474, 424.0, 434.0, 440.0, 448.0, 610.0, 755.0, 268.0, 1629.2, 385.3333333333333, 410.0, 501.6666666666667, 645.3333333333334, 782.0]","[0.00155654296875, 0.0020046386718750005, 0.0023819824218750006, 0.0014857910156249998, 0.18742192382812498, 0.027192333984375, -0.00030659179687500033, 0.0021697265625, 0.0017452148437500001, 0.000542431640625, 0.0003773437500000001, 0.00089619140625, 0.0024291503906249995, 0.00334892578125, 7.4498976562499655, 0.00136787109375, 0.001108447265625, 0.0009197753906249999, 0.0038441894531249994, 0.007287451171875002, 0.006862939453125002]"
26,"[339, 339, 341, 344, 386, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 447, 450, 450, 450, 450, 450]","[599.6, 774.0, 1690.5, 641.0, 1453.5, 383.63047390521893, 398.0, 407.37704918032784, 423.2432432432432, 424.0, 432.90909090909093, 440.0, 603.3333333333334, 747.3333333333334, 921.0, 556.0, 384.6666666666667, 411.0, 502.0, 647.0, 783.0]","[0.00325458984375, 0.0020753906249999995, 0.0024055664062500003, 0.0016508789062500003, 0.001014111328125, 0.18487485351562502, 0.028371533203125004, -0.0004245117187500001, 0.002004638671875, 0.0014622070312499999, 0.00037734375, 0.0004009277343750001, 0.0036555175781249998, 0.005400732421874999, 0.00278291015625, 0.002004638671875, 0.001108447265625, 0.00113203125, 0.003844189453125, 0.00716953125, 0.007523291015625]"
27,"[344, 363, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450, 454]","[643.0, 359.6, 383.47062386432464, 398.0, 407.30841121495325, 423.2352941176471, 424.0, 432.3333333333333, 615.3333333333334, 747.0, 915.0, 385.5, 408.0, 502.0, 644.6666666666666, 787.0, 1472.5454545454545]","[0.0014150390625, 0.001014111328125, 0.18713891601562505, 0.026225390624999997, -0.0002830078124999999, 0.001910302734375, 0.0014386230468749997, 0.00042451171875, 0.002830078125, 0.003844189453125001, 0.0021933105468749997, 0.001344287109375, 0.0011791992187499998, 0.004315869140624999, 0.007358203125000002, 0.006414843750000002, 0.00127353515625]"
28,"[334, 340, 340, 357, 369, 403, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[824.0, 636.0, 797.5, 1624.4444444444443, 1638.5263157894738, 1784.6666666666667, 383.14877589453863, 398.0, 408.0, 423.0, 424.0, 432.0, 610.0, 752.0, 385.0, 409.3333333333333, 502.0, 647.0, 786.0]","[0.0024527343750000005, 0.001957470703125, 0.0023819824218749993, 0.004598876953125, 0.0053299804687499995, 0.0020518066406250003, 0.18190327148437505, 0.024220751953125005, 0.001768798828125, 0.001863134765625, 0.0016037109375000003, 0.00037734375, 0.0033017578125000007, 0.0048818847656249996, 0.00099052734375, 0.000943359375, 0.003631933593749999, 0.0068393554687500024, 0.007051611328125003]"
29,"[391, 407, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450]","[465.0, 1582.0, 383.5512897420516, 398.0, 407.32758620689657, 423.22222222222223, 424.0, 432.75, 603.0, 750.0, 914.0, 385.3333333333333, 501.6666666666667, 646.0, 786.6666666666666]","[0.001320703125, 0.0018867187500000002, 0.185865380859375, 0.028112109375, -0.00047167968749999966, 0.001957470703125, 0.001509375, 0.0005188476562500001, 0.0028772460937500004, 0.0039149414062500006, 0.00249990234375, 0.0009433593750000003, 0.004221533203125001, 0.007098779296875003, 0.007075195312500001]"
