Event Number,PMT ID,Time,Charge
2,97,339.41204623655915,2.2412109375000533
2,101,336.67041282051287,3.4228515624998934
2,102,337.6391714285714,1.3769531250000533
2,103,337.56434193548387,1.9433593749998934
2,109,337.03696229508193,0.7812500000001066
2,110,335.20118965517236,1.0058593750001066
2,111,337.79435238095243,1.2451171874998934
2,122,334.30155421686743,1.7138671875
2,123,336.5922619047619,1.8896484375
2,131,364.8775121212121,0.7519531250001066
2,133,348.55593396226413,2.9345703125
2,149,381.76631034482756,2.2314453125000533
2,164,346.2973652173913,1.9531249999999467
2,165,340.4525652173913,1.1572265625000533
2,187,346.58275555555554,1.7041015625000533
3,0,-33.09477777777779,1.6064453125000533
3,3,343.2687169491525,1.044921875
3,6,336.2958048192771,3.8085937500001066
3,8,335.11116666666663,3.5351562499999467
3,20,354.7200567901234,1.3574218750001066
3,59,347.8560422535211,1.11328125
3,60,335.5286551724138,0.7177734375
3,65,340.2232106382978,4.321289062500107
3,66,336.7785048780488,3.0468749999999467
3,67,336.6557,3.2275390624999467
3,68,335.6773344827586,1.9531249999999467
3,70,338.9725260869565,1.0302734374998934
3,73,337.03954516129033,7.846679687499947
3,74,337.0702,9.145507812500107
3,75,337.5128384615385,2.3974609375
3,78,336.82130458715596,2.0117187500001066
3,80,337.2605,6.840820312500107
3,81,336.6799865284974,6.293945312500107
3,83,337.4284548821549,6.591796875
3,85,338.56896242038215,2.0556640625001066
3,86,337.8751653631285,4.755859375000053
3,87,338.2063756756757,1.5380859375
3,88,337.5308322580645,3.0322265625000533
3,94,340.41358709677417,1.3183593750000533
3,96,336.7524588235294,11.455078125000107
3,97,338.40043333333335,3.867187499999894
3,101,337.133561971831,0.8349609374999467
3,102,336.928664516129,3.193359375
3,104,336.7367911392405,2.8759765625000533
3,116,335.41704827586204,1.6113281249998934
3,123,343.875,1.2158203124998934
3,125,396.88771612903224,1.9482421875000533
3,128,395.0507783783784,2.2558593749998934
3,155,346.67089230769227,0.6982421875000533
3,159,347.64839090909095,5.024414062500053
3,164,640.3830941176471,1.0888671874998934
3,171,351.60049999999995,1.2060546875001066
3,172,370.5561580645161,1.7871093749999467
3,184,346.5359285714286,1.8603515625
3,191,344.764425,2.5292968750001066
3,207,345.8809307692308,1.5576171874998934
3,240,335.79079473684203,1.6357421875001066
4,6,335.9632956521739,3.7158203125000533
4,12,334.51419130434783,0.8349609375
4,18,335.67955454545455,1.7626953124998934
4,20,337.87170204081633,2.216796875
4,27,335.7006738738738,2.0312499999999467
4,42,391.41850000000017,1.4355468749998934
4,54,343.07809090909086,0.7958984375001066
4,61,341.0708714285714,1.0986328124998934
4,62,346.73575454545454,1.8798828125
4,66,372.12722173913045,1.8798828125000533
4,67,356.4169111801242,2.9736328125000533
4,68,336.9111780487805,2.1240234374998934
4,71,337.9526411764706,5.624999999999947
4,72,338.02147627118643,2.6806640625001066
4,73,337.299604845815,3.8232421874998934
4,74,336.7189958115183,14.252929687500107
4,75,337.5381468468468,3.5644531250000533
4,78,352.1971953488372,2.4462890624999467
4,80,337.4190873605948,5.5615234375
4,81,246.29055,3.0078125
4,83,337.42653668639053,7.158203124999893
4,85,338.12030000000004,4.208984375
4,86,338.18107346938774,4.433593749999893
4,87,336.9327512820513,9.501953124999947
4,88,336.86185970149256,8.549804687499893
4,94,337.1528923076923,3.5351562500000533
4,96,338.66857922077924,1.3037109374999467
4,97,337.2461,2.0898437499998934
4,101,410.9285666666667,1.2109375000000533
4,104,336.08323544973547,5.634765625000107
4,106,336.71945079365076,2.2265625000001066
4,107,336.30095714285716,1.337890625
4,111,353.1376105263158,1.6455078124999467
4,116,376.05532839506174,2.0751953125
4,128,342.30881379310347,2.3730468750001066
4,155,348.7875902439024,1.8115234375001066
4,164,344.46084347826087,3.30078125
4,165,344.72106451612905,2.2802734374999467
4,166,328.7001666666667,1.3085937499999467
4,174,346.20339047619046,2.24609375
